id,name,address,lat,long,star_number,street_id,district_id,province_id
5909,Huong Duong Hotel,"37 Hai Bà Trưng, Thành Phố Huế, Thừa Thiên - Huế",16.45960244,107.58897179999998,2,27671.0,275.0,1
6265,Khách Sạn Huế Nino (Hue Nino Hotel),"14 Nguyễn Công Trứ, Thành Phố Huế, Thừa Thiên - Huế",16.47187865,107.5966963,3,27718.0,275.0,1
6391,Remy Hotel,"09 Hai Bà Trưng, Thành phố Huế, Huế, Việt Nam",16.46231479,107.5893742,1,27671.0,275.0,1
6410,Khách sạn Canary Huế (Canary Hue Hotel),"số 8 ngách 43 Nguyễn Công Trứ, Thành Phố Huế, Thừa Thiên - Huế",16.47158385,107.5969219,2,27718.0,275.0,1
6949,Laurel Hotel Hue,7 Doi Cung,16.46904257,107.59330359999998,1,27666.0,275.0,1
6986,Khách sạn Lâm Bảo Long (Lam Bao Long Hotel),"80 Lê Lợi, Thành Phố Huế, Thừa Thiên - Huế",16.47056967,107.5944866,2,27705.0,275.0,1
7046,Thien Thanh guest house,"38 Nguyễn Huệ, Thành phố Huế, Huế, Việt Nam",16.45739798,107.5833795,1,27780.0,275.0,1
7131,Khách sạn Boutique Casablanca (Casablanca Boutique hotel),"10 Bà Triệu, Thành Phố Huế, Thừa Thiên - Huế",16.46953128,107.59888329999998,2,27647.0,275.0,1
7589,Thanh An Guesthouse,"7/41 Ngo Quyen, Thành phố Huế, Huế, Việt Nam",16.46318048,107.5904363,1,27725.0,275.0,1
7919,Khách sạn Thái Bình 2,"2 Lương Thế Vinh, Thành Phố Huế, Thừa Thiên - Huế",16.46570901,107.5909299,3,27717.0,275.0,1
8721,Tai Hai Guest House,"28/16 Hai Ba Trung, Thành phố Huế, Huế, Việt Nam",16.46137479,107.5892607,1,27671.0,275.0,1
8722,Khách sạn Casablanca (Casablanca Hotel),"44 Nguyễn Công Trứ, Thành phố Huế, Huế, Việt Nam",16.470841699999998,107.5979669,1,27718.0,275.0,1
8725,Khách Sạn & Spa Serene Shining Huế (Hue Serene Shining Hotel & Spa),"57/5 Nguyễn Công Trứ, Thành Phố Huế, Thừa Thiên - Huế",16.47156228,107.5981366,3,27718.0,275.0,1
8728,Duc Tai Guesthouse,"60/48 Ngô Quyền, Thành phố Huế, Huế, Việt Nam",16.46151901,107.588402,1,27725.0,275.0,1
8734,Phu Hiep Guest House,"16/16 Hai Ba Trung, Thành phố Huế, Huế, Việt Nam",16.46040104,107.5888875,1,27725.0,275.0,1
8735,My Ngoc Guest house,"18 Ngô Gia Tự, Thành phố Huế, Huế, Việt Nam",16.460411999999998,107.590052,1,27720.0,275.0,1
