id,name,district_id,province_id
28190,Chợ Bắc Kạn,37,9
28191,Hoàng Hoa Thám,665,49
28192,Lê Quý Đôn,665,49
28193,Âu Cơ,665,49
28194,Tân Bình,665,49
28195,Nguyễn Du,665,49
28196,Phố Xuân Nương,665,49
28197,Phan Châu Trinh,665,49
28198,Sân Vận Động Việt Trì,665,49
28199,Quốc lộ 2A,665,49
28200,Nguyễn Tất Thành,665,49
28201,Trần Nguyễn Hãn,665,49
28202,Trần Phú,665,49
28203,Quốc lộ 2,665,49
28204,Bến xe Việt Trì,665,49
28205,Chợ Trung Tâm,665,49
28206,Quốc Lộ 3,37,9
28207,Trầm Sào,665,49
28208,Quốc lộ 2,181,49
28209,Quốc lộ 2,456,49
28210,Phố Vang,579,49
28211,Quốc Lộ 32C,331,49
28212,30-Thg4,509,52
28213,Việt Trì,665,49
28214,Ấp Tân Thọ,509,52
28215,K2  Hương Nha,532,49
28216,Bưu Điện Tỉnh,665,49
28217,Quốc lộ 2B,665,49
28218,Bùi Viện,509,52
28219,Cách Mạng,509,52
28220,Cầu Đất,579,49
28221,Hai Bà Trưng,665,49
28222,Điện Biên Phủ,509,52
28223,Đề Thám,509,52
28224,Xuân Sơn,548,49
28225,Đặng Văn Viễn,509,52
28226,Đào Duy Từ,509,52
28227,Hùng Vương,509,52
28228,Đồng Khởi,509,52
28229,Phố Hồng Hà,665,49
28230,Calmette,509,52
28231,Hai Bà Trưng,509,52
28232,Thạch sơn,331,49
28233,Lê Hồng Phon,509,52
28234,Đinh Tiên Hoàng,509,52
28235,Khóm 1,509,52
28236,Lê Lợi,509,52
28237,Xuân Nương,665,49
28238,Nam Kỳ Khởi Nghĩa,509,52
28239,Lê Văn Tám,509,52
28240,Lê Duẩn,509,52
28241,Lê Lai,509,52
28242,Lê Hồng Phong,509,52
28243,Mai Thanh Thế,509,52
28244,Kênh Sáng,509,52
28245,Nông Trang,665,49
28246,Mậu Thân,509,52
28247,Lý Tự Trọng,509,52
28248,Mạc Đĩnh Chi,509,52
28249,Nguyễn Văn Hữu,509,52
28250,Nguyễn Văn Linh,509,52
28251,Nguyễn Văn Trỗi,509,52
28252,Phạm Hùng,509,52
28253,Nguyễn Văn Cừ,509,52
28254,Phan Chu Trinh,509,52
28255,Nguyễn Trung Trực,509,52
28256,Nguyễn Đình Chiểu,509,52
28257,Ngô Quyền,509,52
28258,Quốc Lộ 1,509,52
28259,Nguyễn Văn Thêm,509,52
28260,Nguyễn Hùng Phước,509,52
28261,Phạm Ngũ Lão,509,52
28262,Nguyễn Huệ,509,52
28263,Tôn Đức Thắng,509,52
28264,quốc lộ 1A,509,52
28265,Trần Minh Phú,509,52
28266,Phú Lợi,509,52
28267,Trần Quang Diệu,509,52
28268,Trần Hưng Đạo,509,52
28269,Văn Ngọc Chính,509,52
28270,Yết Kiêu,509,52
28271,Ngô Gia Tự,509,52
28272,Trần Bình Trọng,509,52
28273,Công Viên Giải Phóng,509,52
28274,Trà Men B,509,52
28275,Bảo Tàng Tỉnh,509,52
28276,Bến Xe Sóc Trăng,509,52
28277,Xô Viết Nghệ Tĩnh,509,52
28278,Chợ Trung Tâm,509,52
28279,Chùa Dơi,509,52
28280,Bệnh Viện Đa Khoa Tỉnh,509,52
28281,Trường Cao Đẳng Cộng Đồng Sóc Trăng,509,52
28282,Khu Văn Hoá Hồ Nước Ngọt,509,52
28283,30 Tháng 4,137,52
28284,Cầu Quay,509,52
28285,Tỉnh Lộ 1,383,52
28286,Trương Công Định,509,52
28287,Hương Lộ 2,288,52
28288,Nguyễn Chí Thanh,509,52
28289,Ấp Đại Chí,384,52
28290,Hương Lộ 12,384,52
28291,Lê Lợi,384,52
28292,Võ Đình Sâm,509,52
28293,Tỉnh lộ 934,384,52
28294,Nguyễn Linh Văn,509,52
28295,Thị trấn Mỹ Xuyên,384,52
28296,Nguyễn Trung Trực,400,52
28297,Quốc lộ1A,585,52
28298,Hùng Vương,450,49
28299,Phan Bội Châu,384,52
